puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
140,166 Sport, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
140,166 Inter, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
135 ch,195 Inter, Ferrari,,Coupé 2 portes,,,2341,Propulsion,"V12, 2x1 arbre à cames en tête",,Longitudinal avant,,1950
170,212 Inter, Ferrari,,Coupé 2 portes,,,2562,Propulsion,"V12 ""Colombo"" à 60°",80 exemplaire(s),Longitudinal avant,Sportive de prestige,1951
170,212 Export, Ferrari,,Coupé 2 portes,,,2562,Propulsion,"V12 ""Colombo"" à 60°",80 exemplaire(s),Longitudinal avant,Sportive de prestige,1951
170,212 Inter Cabriolet, Ferrari,,Coupé 2 portes,,,2562,Propulsion,"V12 ""Colombo"" à 60°",80 exemplaire(s),Longitudinal avant,Sportive de prestige,1951
170,212 Inter Coupé Vignale, Ferrari,,Coupé 2 portes,,,2562,Propulsion,"V12 ""Colombo"" à 60°",80 exemplaire(s),Longitudinal avant,Sportive de prestige,1951
140,166 MM Vignale, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
,225 S Vignale,Ferrari,,,,,,,,,,,
,340 America, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,342 America, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,500 Mondial,Ferrari,,,,,,,,,,,
,625 TF,Ferrari,,,,,,,,,,,
,340 MM,Ferrari,,,,,,,,,,,
340,375 MM Coupé, Ferrari,,Coupé ou spider 2-portes,,,522,Propulsion,"V12 de 4,5 L","26[1],[2] exemplaire(s)",Longitudinal avant,Course et GT,1953
147,250 Europa, Ferrari,,,,,2963,Propulsion,V12 «Colombo» à 60°,,Longitudinale avant,Sportive de prestige,1953
300 ch,375 America, Ferrari,,Coupé 2-portes,,,522,Propulsion,"V12, 4,5 L",11 exemplaire(s),Longitudinal avant,Grand Tourisme,1953
340 à 400 ch,410 Superamerica, Ferrari,,Coupé 2-portes,,,963,Propulsion,"V12, 5 L",34 exemplaire(s),Longitudinal avant,Sportive de prestige,1956
,500 TR,Ferrari,,,,,,,,,,,
,250 GT Boano,Ferrari,,,,,,,,,,,
,250 GT Ellena,Ferrari,,,,,,,,,,,
,335 S Spider,Ferrari,,,,,,,,,,,
,250 GT Scaglietti,Ferrari,,,,,,,,,,,
,250 GT California,Ferrari,,,,,,,,,,,
240,250 GT California Spyder, Ferrari,,Cabriolet 2 places,,,953,Propulsion,"V12 à 60°, 24s",100,Longitudinale avant,Sportive de prestige,1957
240,250 GT Coupé Pininfarina, Ferrari,,,,,953,,"V12 « Colombo » 60°, 24s",343,Longitudinale avant,Sportive de prestige,1958
,250 GT Pininfarina Spider II,Ferrari,,,,,,,,,,,
,250 GT Interim,Ferrari,,,,,,,,,,,
,400 Superamerica Cabriolet, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,400 Superamerica Special, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,250 GT Berlinette,Ferrari,,,,,,,,,,,
240,250 GTE, Ferrari,,Coupé 2+2,,,2953,Propulsion,"V12 à 60°, 24s",950,Longitudinale avant,Grand Tourisme,1960
,400 Superamerica, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,400 Aerodinamico, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,250 GTO 62,Ferrari,,,,,,,,,,,
,330 Fantuzzi,Ferrari,,,,,,,,,,,
250,250 GT Lusso, Ferrari,,Coupé 2 places,,,953,Propulsion,V12 « Colombo » 60°,351,Longitudinale avant,Grand Tourisme,1963
,250 GTL,Ferrari,,,,,,,,,,,
,330 LMB,Ferrari,,,,,,,,,,,
,330 Cabriolet,Ferrari,,,,,,,,,,,
,330 GTE 2+2,Ferrari,,,,,,,,,,,
,250 GTO 64,Ferrari,,,,,,,,,,,
294,500 Superfast, Ferrari,,,,,962,Propulsion,Tipo 208 V12 à 60°,Série limitée à 36 exemplaire(s),Longitudinale centrale avant,Voiture de sport,1964
280,275 GTB, Ferrari,,,,,285,Propulsion,"V12 ""Colombo"" à 60°",450,Longitudinale centrale avant,Voiture de sport,1964
280,275 GTS, Ferrari,,,,,285,Propulsion,"V12 ""Colombo"" à 60°",450,Longitudinale centrale avant,Voiture de sport,1964
280,275 GTB C, Ferrari,,,,,285,Propulsion,"V12 ""Colombo"" à 60°",450,Longitudinale centrale avant,Voiture de sport,1964
280,275 GTB/4, Ferrari,,,,,285,Propulsion,"V12 ""Colombo"" à 60°",450,Longitudinale centrale avant,Voiture de sport,1964
,330 GTC,Ferrari,,,,,,,,,,,
,330 GTS,Ferrari,,,,,,,,,,,
,365 California, Ferrari,,,,,522,Propulsion,V12 4.5,,Longitudinale avant,Berlinette sportive,1951
,250 GTB/4,Ferrari,,,,,,,,,,,
352,"365 GTB/4 ""Daytona""", Ferrari,,Berlinette coupéCabriolet spider,,,4390,Propulsion,V12 60°,406,Longitudinal avant,Voiture de sport,1968
,365 GTC, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,365 GTS, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,365 GTS/4, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,365 GTC/4, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
340,365 GT/4 2+2, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
255,308 GT/4, Ferrari,,Coupé 2+2,,,000,Propulsion,V8 à 90°,826,,Voiture de sport,1973
,365 GT/4 BB, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,365 GT4-BB,Ferrari,,,,,,,,,,,
255,208 GT/4, Ferrari,,Coupé 2+2,,,000,Propulsion,V8 à 90°,826,,Voiture de sport,1973
255,308 GTB, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 GTS, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 Gr IV Michelotto, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
,512 BB,Ferrari,,,,,,,,,,,
340,400 GT, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
340,400 Automatic, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
255,308 GTS, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
340,400i, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
340,400i Automatic, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
,208 GTB,Ferrari,,,,,,,,,,,
255,308 GTS, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
300 ch,Mondial 8, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
255,308 GTBi, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 GTSi, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
,512 BBi,Ferrari,,,,,,,,,,,
255,308 GTB Turbo, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 GTS Turbo, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 GTB Quattrovalvole, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
255,308 GTS Quattrovalvole, Ferrari,,Coupé & cabriolet (targa),,,926,Propulsion,"Ferrari V8 F106AB, 16 soupapes, 4 carburateurs double corps Weber 40 DCNF / injection",149,,Coupé & découvrable,1975
300 ch,Mondial Quattrovalvole, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
300 ch,Mondial Cabriolet, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
400,288 GTO, Ferrari,,Coupé 2 portes,,,855,Propulsion,"2,9 L V8 biturbo, 32 soupapes",272,Central arrière longitudinal,Supercar,1984
428,Testarossa, Ferrari,,Testarossa512 TR (Testa Rossa)F512 M (Modifiée)Testarossa Spider ValeoFerrari Testarossa F90 SpecialeFerrari MythosFZ93 ZagatoFerrari FXKoenig SpecialsFerrari Testa D’Oro,,,943,Propulsion,12 cylindres à plat,177,Centrale arrière,Voiture de sport Grand Tourisme,1984
300 ch,Mondial Quattrovalvole Cabriolet, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
270,328 GTB, Ferrari,,Coupé,,,185,Boîte de vitesses à 5 rapports,"V8 3,2 L",500,,Coupé sport,1985
270,328 GTS, Ferrari,,Coupé,,,185,Boîte de vitesses à 5 rapports,"V8 3,2 L",500,,Coupé sport,1985
300 ch,Mondial 3.2, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
340,412, Ferrari,,Coupé 2+2,,,943,Propulsion,"V12 4,9 L, 24s",576,Longitudinale avant,Grand Tourisme,1985
,208 GTS,Ferrari,,,,,,,,,,,
760 à 780 ch  (567 à 582 kW),F40, Ferrari,,Coupé 2-portes,,,936,Propulsion,V8 à 90° Biturbo,315,Longitudinale centrale arrière,Voiture de course,1989
300,348 TS, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
300 ch,Mondial T, Ferrari,,Coupé 2+2,,,405,Propulsion,"V8 3,4 L, 32s",017,Transversale centrale arrière,Grand Tourisme,1989
300,348 TB, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
428,512 TR, Ferrari,,Testarossa512 TR (Testa Rossa)F512 M (Modifiée)Testarossa Spider ValeoFerrari Testarossa F90 SpecialeFerrari MythosFZ93 ZagatoFerrari FXKoenig SpecialsFerrari Testa D’Oro,,,943,Propulsion,12 cylindres à plat,177,Centrale arrière,Voiture de sport Grand Tourisme,1984
442,456 GT, Ferrari,,Coupé 2 portes,,,474,Propulsion,"V12, 48 soupapes",289,Longitudinale avant,Sportive de prestige,1992
380,F355 Berlinetta, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
380,F355 GTS, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
428,F512 M, Ferrari,,Testarossa512 TR (Testa Rossa)F512 M (Modifiée)Testarossa Spider ValeoFerrari Testarossa F90 SpecialeFerrari MythosFZ93 ZagatoFerrari FXKoenig SpecialsFerrari Testa D’Oro,,,943,Propulsion,12 cylindres à plat,177,Centrale arrière,Voiture de sport Grand Tourisme,1984
300,348 Spider, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
520,F50,Ferrari,,Roadster,,,4698,PropulsionBoîte à 6 rapports,"V12 DOHC 4,7 L ; 60 soupapes[2]",349,,Supercar,1995
485,550 Maranello,Ferrari,,Coupé,,,5474,Propulsion,"V12, 48 soupapes",3083,,Voiture de sport Grand Tourisme,1996
380,F355 Spider, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
442,456M GT, Ferrari,,Coupé 2 portes,,,474,Propulsion,"V12, 48 soupapes",289,Longitudinale avant,Sportive de prestige,1992
425,360 Modena,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
485,550 Barchetta Pininfarina,Ferrari,,Coupé,,,5474,Propulsion,"V12, 48 soupapes",3083,,Voiture de sport Grand Tourisme,1996
425,360 Spider,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
660,Enzo, Ferrari,,Coupé 2-portes,,,998,Propulsion,"V12 6,0 L à 65°, 48 soupapes2 x 2 ACT",400,Centrale arrière longitudinale,supercar ,2002
515,575M Maranello, Ferrari,,Coupé 2 portes,,,5748,Propulsion,"V12 à 60°, 48 soupapes",2548,Longitudinal avant,Voiture de sport Grand Tourisme,2002
425,Challenge Stradale,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
540,612 Scaglietti, Ferrari,,Coupé 2+2,,,748,Propulsion,"V12, 5.7 L, 48 S",,Longitudinale avant,Grand tourisme,2004
510,F430, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
510,F430 Spider, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
540,575M Superamerica, Ferrari,,Coupé-cabriolet,,,748,Propulsion Boîte manuelle ou robotisée 6-rapports,Essence V12 à 65°,559,,Sportive,2004
700 ch DIN (522 kW),599 GTB Fiorano, Ferrari,,Coupé 2-portes,,,6000,Propulsion,V12 atmosphérique,30 exemplaire(s),Avant,Supercar,2011
510,430 Scuderia, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
560,California, Ferrari,,Coupé Cabriolet,,,855,Propulsion,"V8 bi-turbo 32 soupapes à injection directe, à 90°",,Centrale avant,Grand tourisme,2014
510,Scuderia Spider 16M, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
445,458 Italia, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
670,599 GTO, Ferrari,,Coupé 2-portes,,,999,Propulsion,V12 de 6 L,599,Longitudinal avant,Voiture de sport,2010
670,599 SA Aperta, Ferrari,,Roadster,,,5999,Propulsion,V12 de 6 L,80 exemplaire(s),,Voiture de sport,2010
660,FF, Ferrari,,Coupé 2 portes,,,262,Intégrale sur les quatre premiers rapports,"V12 6,3 L à injection directe 65°",,Centrale avant,Coupé Grand Tourisme,2011
445,458 Italia Spider, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
